Date,AQI,Sample_Duration,Pollutant_Type
1986-02-01,52,24 HOUR,81102
1986-02-02,55,24 HOUR,81102
1986-02-04,38,24 HOUR,81102
1986-02-05,17,24 HOUR,81102
1986-02-06,19,24 HOUR,81102
1986-02-07,27,24 HOUR,81102
1986-02-08,31,24 HOUR,81102
1986-02-09,46,24 HOUR,81102
1986-02-11,33,24 HOUR,81102
1986-02-12,66,24 HOUR,81102
1986-02-13,51,24 HOUR,81102
1986-02-14,33,24 HOUR,81102
1986-02-15,52,24 HOUR,81102
1986-02-16,22,24 HOUR,81102
1986-02-19,27,24 HOUR,81102
1986-02-20,28,24 HOUR,81102
1986-02-21,48,24 HOUR,81102
1986-02-22,14,24 HOUR,81102
1986-02-23,16,24 HOUR,81102
1986-02-25,32,24 HOUR,81102
1986-02-26,52,24 HOUR,81102
1986-02-27,35,24 HOUR,81102
1986-03-01,40,24 HOUR,81102
1986-03-02,30,24 HOUR,81102
1986-03-04,32,24 HOUR,81102
1986-03-05,44,24 HOUR,81102
1986-03-07,38,24 HOUR,81102
1986-03-08,31,24 HOUR,81102
1986-03-09,21,24 HOUR,81102
1986-03-11,28,24 HOUR,81102
1986-03-12,19,24 HOUR,81102
1986-03-13,20,24 HOUR,81102
1986-03-14,24,24 HOUR,81102
1986-03-15,18,24 HOUR,81102
1986-03-16,21,24 HOUR,81102
1986-03-18,11,24 HOUR,81102
1986-03-19,22,24 HOUR,81102
1986-03-20,31,24 HOUR,81102
1986-03-21,47,24 HOUR,81102
1986-03-22,27,24 HOUR,81102
1986-03-27,57,24 HOUR,81102
1986-03-23,29,24 HOUR,81102
1986-03-25,47,24 HOUR,81102
1986-03-26,43,24 HOUR,81102
1986-03-28,60,24 HOUR,81102
1986-03-29,42,24 HOUR,81102
1986-03-30,40,24 HOUR,81102
1986-04-01,44,24 HOUR,81102
1986-04-02,58,24 HOUR,81102
1986-04-03,9,24 HOUR,81102
1986-04-08,19,24 HOUR,81102
1986-04-05,71,24 HOUR,81102
1986-04-06,50,24 HOUR,81102
1986-04-07,47,24 HOUR,81102
1986-04-09,22,24 HOUR,81102
1986-04-12,23,24 HOUR,81102
1986-04-13,19,24 HOUR,81102
1986-04-14,25,24 HOUR,81102
1986-04-15,38,24 HOUR,81102
1986-04-16,40,24 HOUR,81102
1986-04-17,21,24 HOUR,81102
1986-04-18,19,24 HOUR,81102
1986-04-19,19,24 HOUR,81102
1986-04-24,28,24 HOUR,81102
1986-04-20,15,24 HOUR,81102
1986-04-22,24,24 HOUR,81102
1986-04-23,22,24 HOUR,81102
1986-04-26,13,24 HOUR,81102
1986-04-27,8,24 HOUR,81102
1986-04-28,19,24 HOUR,81102
1986-04-29,27,24 HOUR,81102
1986-04-30,31,24 HOUR,81102
1986-05-01,41,24 HOUR,81102
1986-05-02,51,24 HOUR,81102
1986-05-08,11,24 HOUR,81102
1986-05-03,54,24 HOUR,81102
1986-05-04,61,24 HOUR,81102
1986-05-07,37,24 HOUR,81102
1986-05-09,14,24 HOUR,81102
1986-05-10,19,24 HOUR,81102
1986-05-11,20,24 HOUR,81102
1986-05-13,27,24 HOUR,81102
1986-05-14,57,24 HOUR,81102
1986-05-15,20,24 HOUR,81102
1986-05-20,38,24 HOUR,81102
1986-05-16,11,24 HOUR,81102
1986-05-17,19,24 HOUR,81102
1986-05-18,23,24 HOUR,81102
1986-05-21,42,24 HOUR,81102
1986-05-22,44,24 HOUR,81102
1986-05-23,31,24 HOUR,81102
1986-05-24,36,24 HOUR,81102
1986-05-25,24,24 HOUR,81102
1986-05-28,27,24 HOUR,81102
1986-05-29,19,24 HOUR,81102
1986-05-30,31,24 HOUR,81102
1986-05-31,23,24 HOUR,81102
1986-06-01,19,24 HOUR,81102
1986-06-07,23,24 HOUR,81102
1986-06-03,17,24 HOUR,81102
1986-06-04,15,24 HOUR,81102
1986-06-05,38,24 HOUR,81102
1986-06-08,19,24 HOUR,81102
1986-06-10,11,24 HOUR,81102
1986-06-11,32,24 HOUR,81102
1986-06-12,34,24 HOUR,81102
1986-06-13,29,24 HOUR,81102
1986-06-14,32,24 HOUR,81102
1986-06-15,32,24 HOUR,81102
1986-06-17,31,24 HOUR,81102
1986-06-18,30,24 HOUR,81102
1986-06-20,31,24 HOUR,81102
1986-06-21,40,24 HOUR,81102
1986-06-24,52,24 HOUR,81102
1986-06-25,27,24 HOUR,81102
1986-06-26,41,24 HOUR,81102
1986-06-27,45,24 HOUR,81102
1986-06-28,44,24 HOUR,81102
1986-06-29,76,24 HOUR,81102
1986-07-01,32,24 HOUR,81102
1986-07-03,53,24 HOUR,81102
1986-07-04,28,24 HOUR,81102
1986-07-05,40,24 HOUR,81102
1986-07-08,25,24 HOUR,81102
1986-07-09,31,24 HOUR,81102
1986-07-10,30,24 HOUR,81102
1986-07-11,25,24 HOUR,81102
1986-07-12,31,24 HOUR,81102
1986-07-13,32,24 HOUR,81102
1986-07-15,31,24 HOUR,81102
1986-07-16,33,24 HOUR,81102
1986-07-18,22,24 HOUR,81102
1986-07-19,19,24 HOUR,81102
1986-07-20,13,24 HOUR,81102
1986-07-22,20,24 HOUR,81102
1986-07-23,20,24 HOUR,81102
1986-07-24,19,24 HOUR,81102
1986-07-25,22,24 HOUR,81102
1986-07-26,24,24 HOUR,81102
1986-07-27,27,24 HOUR,81102
1986-07-29,36,24 HOUR,81102
1986-07-30,46,24 HOUR,81102
1986-07-31,44,24 HOUR,81102
1986-08-06,29,24 HOUR,81102
1986-08-01,40,24 HOUR,81102
1986-08-02,31,24 HOUR,81102
1986-08-03,23,24 HOUR,81102
1986-08-07,31,24 HOUR,81102
1986-08-08,31,24 HOUR,81102
1986-08-09,19,24 HOUR,81102
1986-08-10,24,24 HOUR,81102
1986-08-12,31,24 HOUR,81102
1986-08-13,31,24 HOUR,81102
1986-08-18,53,24 HOUR,81102
1986-08-30,35,24 HOUR,81102
1986-08-21,31,24 HOUR,81102
1986-08-24,31,24 HOUR,81102
1986-08-27,30,24 HOUR,81102
1986-09-02,26,24 HOUR,81102
1986-09-17,43,24 HOUR,81102
1986-09-20,41,24 HOUR,81102
1986-09-23,37,24 HOUR,81102
1986-09-26,23,24 HOUR,81102
1986-09-29,19,24 HOUR,81102
1986-10-17,66,24 HOUR,81102
1986-10-20,20,24 HOUR,81102
1986-10-23,20,24 HOUR,81102
1986-10-26,35,24 HOUR,81102
1986-10-29,59,24 HOUR,81102
1986-11-01,11,24 HOUR,81102
1986-11-04,35,24 HOUR,81102
1986-11-16,20,24 HOUR,81102
1986-11-07,29,24 HOUR,81102
1986-11-10,30,24 HOUR,81102
1986-11-13,57,24 HOUR,81102
1986-11-19,37,24 HOUR,81102
1986-11-22,27,24 HOUR,81102
1986-11-25,52,24 HOUR,81102
1986-11-28,54,24 HOUR,81102
1986-12-01,54,24 HOUR,81102
1986-12-04,59,24 HOUR,81102
1986-12-07,35,24 HOUR,81102
1986-12-10,59,24 HOUR,81102
1986-12-16,78,24 HOUR,81102
1986-12-19,84,24 HOUR,81102
1986-12-22,78,24 HOUR,81102
1986-12-25,57,24 HOUR,81102
1986-12-28,56,24 HOUR,81102
1986-12-31,56,24 HOUR,81102
1987-03-25,12,24 HOUR,81102
1987-03-28,7,24 HOUR,81102
1987-03-31,27,24 HOUR,81102
1987-04-06,27,24 HOUR,81102
1987-04-15,26,24 HOUR,81102
1987-04-27,37,24 HOUR,81102
1987-04-18,41,24 HOUR,81102
1987-04-21,24,24 HOUR,81102
1987-04-24,52,24 HOUR,81102
1987-05-03,9,24 HOUR,81102
1987-05-06,20,24 HOUR,81102
1987-05-09,35,24 HOUR,81102
1987-05-12,28,24 HOUR,81102
1987-05-15,34,24 HOUR,81102
1987-05-21,13,24 HOUR,81102
1987-05-24,12,24 HOUR,81102
1987-05-27,26,24 HOUR,81102
1987-05-30,23,24 HOUR,81102
1987-06-11,26,24 HOUR,81102
1987-06-02,31,24 HOUR,81102
1987-06-05,45,24 HOUR,81102
1987-06-10,25,24 HOUR,81102
1987-06-12,28,24 HOUR,81102
1987-06-14,24,24 HOUR,81102
1987-06-20,25,24 HOUR,81102
1987-06-23,27,24 HOUR,81102
1987-06-26,33,24 HOUR,81102
1987-06-29,11,24 HOUR,81102
1987-07-02,31,24 HOUR,81102
1987-07-05,27,24 HOUR,81102
1987-07-08,30,24 HOUR,81102
1987-07-17,39,24 HOUR,81102
1987-07-20,37,24 HOUR,81102
1987-07-23,33,24 HOUR,81102
1987-07-26,29,24 HOUR,81102
1987-07-29,31,24 HOUR,81102
1987-08-01,22,24 HOUR,81102
1987-08-04,35,24 HOUR,81102
1987-08-07,25,24 HOUR,81102
1987-08-13,28,24 HOUR,81102
1987-08-19,46,24 HOUR,81102
1987-08-25,20,24 HOUR,81102
1987-08-31,33,24 HOUR,81102
1987-09-06,4,24 HOUR,81102
1987-09-12,35,24 HOUR,81102
1987-09-18,31,24 HOUR,81102
1987-09-24,53,24 HOUR,81102
1987-09-30,45,24 HOUR,81102
1987-10-15,19,24 HOUR,81102
1987-10-21,35,24 HOUR,81102
1987-11-02,15,24 HOUR,81102
1987-10-24,38,24 HOUR,81102
1987-10-27,51,24 HOUR,81102
1987-10-30,17,24 HOUR,81102
1987-11-05,52,24 HOUR,81102
1987-11-08,36,24 HOUR,81102
1987-11-11,44,24 HOUR,81102
1987-11-14,20,24 HOUR,81102
1987-11-17,31,24 HOUR,81102
1987-11-20,70,24 HOUR,81102
1987-11-23,35,24 HOUR,81102
1987-11-26,17,24 HOUR,81102
1987-11-29,45,24 HOUR,81102
1987-12-02,18,24 HOUR,81102
1987-12-05,51,24 HOUR,81102
1987-12-08,17,24 HOUR,81102
1987-12-11,13,24 HOUR,81102
1987-12-14,19,24 HOUR,81102
1987-12-17,55,24 HOUR,81102
1987-12-20,33,24 HOUR,81102
1987-12-23,16,24 HOUR,81102
