Date,AQI,Sample_Duration,Pollutant_Type
1976-06-15,23,8-HR RUN AVG END HOUR,42101
1976-06-16,22,8-HR RUN AVG END HOUR,42101
1976-06-17,13,8-HR RUN AVG END HOUR,42101
1976-06-18,33,8-HR RUN AVG END HOUR,42101
1976-06-19,22,8-HR RUN AVG END HOUR,42101
1976-06-20,17,8-HR RUN AVG END HOUR,42101
1976-06-21,18,8-HR RUN AVG END HOUR,42101
1976-06-22,17,8-HR RUN AVG END HOUR,42101
1976-06-23,10,8-HR RUN AVG END HOUR,42101
1976-06-24,18,8-HR RUN AVG END HOUR,42101
1976-06-25,18,8-HR RUN AVG END HOUR,42101
1976-06-26,16,8-HR RUN AVG END HOUR,42101
1976-06-27,8,8-HR RUN AVG END HOUR,42101
1976-06-28,19,8-HR RUN AVG END HOUR,42101
1976-06-29,19,8-HR RUN AVG END HOUR,42101
1976-10-20,27,8-HR RUN AVG END HOUR,42101
1976-10-21,43,8-HR RUN AVG END HOUR,42101
1976-10-22,89,8-HR RUN AVG END HOUR,42101
1976-10-23,57,8-HR RUN AVG END HOUR,42101
1976-10-24,28,8-HR RUN AVG END HOUR,42101
1976-10-25,63,8-HR RUN AVG END HOUR,42101
1976-10-26,88,8-HR RUN AVG END HOUR,42101
1976-10-27,48,8-HR RUN AVG END HOUR,42101
1976-10-28,47,8-HR RUN AVG END HOUR,42101
1976-10-29,42,8-HR RUN AVG END HOUR,42101
1976-10-30,55,8-HR RUN AVG END HOUR,42101
1976-10-31,48,8-HR RUN AVG END HOUR,42101
1976-11-01,56,8-HR RUN AVG END HOUR,42101
1976-11-02,35,8-HR RUN AVG END HOUR,42101
1976-11-03,45,8-HR RUN AVG END HOUR,42101
1976-11-04,168,8-HR RUN AVG END HOUR,42101
1976-11-05,170,8-HR RUN AVG END HOUR,42101
1976-11-06,75,8-HR RUN AVG END HOUR,42101
1976-11-07,65,8-HR RUN AVG END HOUR,42101
1976-11-08,72,8-HR RUN AVG END HOUR,42101
1976-11-09,18,8-HR RUN AVG END HOUR,42101
1976-11-10,68,8-HR RUN AVG END HOUR,42101
1976-11-11,20,8-HR RUN AVG END HOUR,42101
1976-11-12,31,8-HR RUN AVG END HOUR,42101
1976-11-13,43,8-HR RUN AVG END HOUR,42101
1976-11-14,50,8-HR RUN AVG END HOUR,42101
1976-11-15,48,8-HR RUN AVG END HOUR,42101
1976-11-16,98,8-HR RUN AVG END HOUR,42101
1976-11-17,83,8-HR RUN AVG END HOUR,42101
1976-11-18,71,8-HR RUN AVG END HOUR,42101
1976-11-19,69,8-HR RUN AVG END HOUR,42101
1976-11-20,58,8-HR RUN AVG END HOUR,42101
1976-11-21,43,8-HR RUN AVG END HOUR,42101
1976-11-22,95,8-HR RUN AVG END HOUR,42101
1976-11-23,86,8-HR RUN AVG END HOUR,42101
1976-11-24,73,8-HR RUN AVG END HOUR,42101
1976-11-25,31,8-HR RUN AVG END HOUR,42101
1976-11-26,1,8-HR RUN AVG END HOUR,42101
1976-11-27,15,8-HR RUN AVG END HOUR,42101
1976-11-28,19,8-HR RUN AVG END HOUR,42101
1976-11-29,41,8-HR RUN AVG END HOUR,42101
1976-11-30,38,8-HR RUN AVG END HOUR,42101
1976-12-01,56,8-HR RUN AVG END HOUR,42101
1976-12-02,27,8-HR RUN AVG END HOUR,42101
1976-12-03,24,8-HR RUN AVG END HOUR,42101
1976-12-04,30,8-HR RUN AVG END HOUR,42101
1976-12-05,11,8-HR RUN AVG END HOUR,42101
1976-12-06,20,8-HR RUN AVG END HOUR,42101
1976-12-07,23,8-HR RUN AVG END HOUR,42101
1976-12-08,59,8-HR RUN AVG END HOUR,42101
1976-12-09,19,8-HR RUN AVG END HOUR,42101
1976-12-10,39,8-HR RUN AVG END HOUR,42101
1976-12-11,76,8-HR RUN AVG END HOUR,42101
1976-12-12,65,8-HR RUN AVG END HOUR,42101
1976-12-13,115,8-HR RUN AVG END HOUR,42101
1976-12-14,99,8-HR RUN AVG END HOUR,42101
1976-12-15,93,8-HR RUN AVG END HOUR,42101
1976-12-16,59,8-HR RUN AVG END HOUR,42101
1976-12-17,38,8-HR RUN AVG END HOUR,42101
1976-12-18,39,8-HR RUN AVG END HOUR,42101
1976-12-19,27,8-HR RUN AVG END HOUR,42101
1976-12-20,49,8-HR RUN AVG END HOUR,42101
1976-12-21,66,8-HR RUN AVG END HOUR,42101
1976-12-22,79,8-HR RUN AVG END HOUR,42101
1976-12-23,74,8-HR RUN AVG END HOUR,42101
1976-12-30,25,8-HR RUN AVG END HOUR,42101
1976-12-31,35,8-HR RUN AVG END HOUR,42101
1977-01-01,38,8-HR RUN AVG END HOUR,42101
1977-01-02,45,8-HR RUN AVG END HOUR,42101
1977-01-03,85,8-HR RUN AVG END HOUR,42101
1977-01-04,45,8-HR RUN AVG END HOUR,42101
1977-01-05,23,8-HR RUN AVG END HOUR,42101
1977-01-06,58,8-HR RUN AVG END HOUR,42101
1977-01-07,47,8-HR RUN AVG END HOUR,42101
1977-01-08,10,8-HR RUN AVG END HOUR,42101
1977-01-09,5,8-HR RUN AVG END HOUR,42101
1977-01-10,52,8-HR RUN AVG END HOUR,42101
1977-01-11,83,8-HR RUN AVG END HOUR,42101
1977-01-12,97,8-HR RUN AVG END HOUR,42101
1977-01-13,52,8-HR RUN AVG END HOUR,42101
